RPC,Source,Description,Lithology,Vs [km/s],VpVs ratio,Rho [kg/mÂ³]
101765,RPC,DSDP S.289 961.0M,limestone,0.9472,2.5002,1975
101766,RPC,DSDP S.289 961.0M,limestone,0.9472,2.6592,1983.9844
101767,RPC,DSDP S.289 961.5M,limestone,1.2162,2.1419,2069.1143
101768,RPC,DSDP S.289 961.5M,limestone,1.2487,2.2154,2010.9427
101773,RPC,DSDP S.289 999 M,limestone,1.1194,2.1732,1978.6906
101774,RPC,DSDP S.289 999 M,limestone,1.1411,2.2639,1921.5956
101775,RPC,DSDP S.289 1009.0M,limestone,1.1624,2.2501,1956.4785
101776,RPC,DSDP S.289 1009.0M,limestone,1.1841,2.3635,2033.4676
101777,RPC,DSDP S.289 1009.5M,limestone,1.1949,2.1079,2046.1827
101778,RPC,DSDP S.289 1009.5M,limestone,1.2487,2.1808,2045
101779,RPC,DSDP S.289 1017 M,limestone,1.1411,2.3488,1964.9208
101780,RPC,DSDP S.289 1017 M,limestone,1.1732,2.4678,1961.0775
101783,RPC,DSDP S.289 1027 M,limestone,1.3671,2.2124,2101.2318
101784,RPC,DSDP S.289 1027 M,limestone,1.3993,2.2307,2135.4726
101820,RPC,DSDP S.289 1175 M,limestone,1.2054,2.2324,2090.47
101823,RPC,DSDP S.289 1233 M,limestone,1.5715,1.8288,2160.5141
101824,RPC,DSDP S.289 1233 M,limestone,1.7438,1.8024,2160.7635
102841,RPC,SOLENHOFEN LIMESTONE 69-2,limestone,0.969,1.904,
101127,RPC,PICKETT LIMESTONE,limestone,0.9885,1.9324,
102855,RPC,SOLENHOFEN LIMESTONE 69-2,limestone,3.14,1.8917,
102846,RPC,SOLENHOFEN LIMESTONE 69-2,limestone,0.99,1.9061,
101131,RPC,PICKETT LIMESTONE,limestone,0.9933,1.8622,
101143,RPC,PICKETT LIMESTONE,limestone,3.0869,1.8637,
101145,RPC,PICKETT LIMESTONE,limestone,2.9669,1.9763,
101151,RPC,PICKETT LIMESTONE,limestone,2.8999,1.8784,
101125,RPC,PICKETT LIMESTONE,limestone,1.0014,1.9245,
101117,RPC,PICKETT LIMESTONE,limestone,1.0213,1.9158,
101121,RPC,PICKETT LIMESTONE,limestone,1.0079,1.9237,
101136,RPC,PICKETT LIMESTONE,limestone,3.2277,1.8265,
102847,RPC,SOLENHOFEN LIMESTONE 69-2,limestone,0.99,1.897,
102845,RPC,SOLENHOFEN LIMESTONE 69-2,limestone,0.99,1.9121,
101157,RPC,PICKETT LIMESTONE,limestone,2.6257,1.9604,
101123,RPC,PICKETT LIMESTONE,limestone,1.0161,1.8687,
101122,RPC,PICKETT LIMESTONE,limestone,1.0229,1.8784,
101153,RPC,PICKETT LIMESTONE,limestone,2.8438,1.8914,
102848,RPC,SOLENHOFEN LIMESTONE 69-2,limestone,0.99,1.8879,
101148,RPC,PICKETT LIMESTONE,limestone,2.8517,2.0068,
101135,RPC,PICKETT LIMESTONE,limestone,0.9548,1.8938,
101144,RPC,PICKETT LIMESTONE,limestone,3.0371,1.8743,
101154,RPC,PICKETT LIMESTONE,limestone,2.8012,1.878,
101159,RPC,PICKETT LIMESTONE,limestone,2.5636,1.8816,
101155,RPC,PICKETT LIMESTONE,limestone,2.7523,1.9113,
102854,RPC,SOLENHOFEN LIMESTONE 69-2,limestone,0.948,1.9114,
101146,RPC,PICKETT LIMESTONE,limestone,2.9498,1.9931,
101164,RPC,PICKETT LIMESTONE,limestone,2.3606,1.8598,
102853,RPC,SOLENHOFEN LIMESTONE 69-2,limestone,0.954,2.0755,
101124,RPC,PICKETT LIMESTONE,limestone,1.0062,1.8816,
102844,RPC,SOLENHOFEN LIMESTONE 69-2,limestone,0.987,1.921,
101152,RPC,PICKETT LIMESTONE,limestone,2.8635,1.8739,
101126,RPC,PICKETT LIMESTONE,limestone,0.9997,1.9164,
101129,RPC,PICKETT LIMESTONE,limestone,0.9933,1.8893,
101149,RPC,PICKETT LIMESTONE,limestone,2.9163,1.8774,
101163,RPC,PICKETT LIMESTONE,limestone,2.3878,1.9251,
101150,RPC,PICKETT LIMESTONE,limestone,2.9039,1.8902,
101130,RPC,PICKETT LIMESTONE,limestone,0.9838,1.9077,
101138,RPC,PICKETT LIMESTONE,limestone,0.9417,1.9149,
101142,RPC,PICKETT LIMESTONE,limestone,3.0686,1.9212,
101118,RPC,PICKETT LIMESTONE,limestone,1.0145,1.9227,
101162,RPC,PICKETT LIMESTONE,limestone,2.4741,1.8861,
102842,RPC,SOLENHOFEN LIMESTONE 69-2,limestone,0.978,1.9172,
102852,RPC,SOLENHOFEN LIMESTONE 69-2,limestone,0.957,1.9028,
102843,RPC,SOLENHOFEN LIMESTONE 69-2,limestone,0.984,1.9207,
101141,RPC,PICKETT LIMESTONE,limestone,3.0823,1.9179,
101134,RPC,PICKETT LIMESTONE,limestone,0.9578,1.9149,
101119,RPC,PICKETT LIMESTONE,limestone,1.0145,1.9227,
102242,RPC,R.PRICE 10921.5 #43,dolomite,2.5558,1.6688,2318.2
102096,RPC,R.PRICE 10889.5 #13,dolomite,3.4449,1.6571,2705.9
102196,RPC,R.PRICE 10913.5 #35,dolomite,2.8412,1.709,2435.4
102071,RPC,R.PRICE 10883.5 #7,dolomite,3.0348,1.6432,2573.3
102089,RPC,R.PRICE 10883.5 #7,dolomite,3.0709,1.8056,2560
102081,RPC,R.PRICE 10883.5 #7,dolomite,2.7329,1.8247,2544.2
102256,RPC,R.PRICE 10921.5 #43,dolomite,2.4311,1.8354,2310.8
102150,RPC,R.PRICE 10901.5 #25,dolomite,2.8018,1.8618,2480.7
102267,RPC,R.PRICE 10926.5 #48,dolomite,3.3793,1.7087,2580.4
102221,RPC,R.PRICE 10916.5 #38,dolomite,2.9954,1.7634,2469.3
102116,RPC,R.PRICE 10890.5 #14,dolomite,3.4449,1.6667,2683.9
102274,RPC,R.PRICE 10926.5 #48,dolomite,3.2218,1.7821,2533.9
102249,RPC,R.PRICE 10921.5 #43,dolomite,2.0833,1.9213,2388.2
102140,RPC,R.PRICE 10901.5 #25,dolomite,2.9626,1.7054,2539.5
102121,RPC,R.PRICE 10890.5 #14,dolomite,3.1726,1.6753,2636.7
102264,RPC,R.PRICE 10926.5 #48,dolomite,3.3136,1.6832,2569.1
102180,RPC,R.PRICE 10909.5 #31,dolomite,2.7658,1.6726,2364.7
102297,RPC,R.PRICE 10928.5 #50,dolomite,2.4344,1.8598,2299.2
102141,RPC,R.PRICE 10901.5 #25,dolomite,3.1365,1.6946,2572.2
102215,RPC,R.PRICE 10913.5 #35,dolomite,3.0282,1.8527,2417.9
102224,RPC,R.PRICE 10916.5 #38,dolomite,3.0118,1.7429,2398.4
102272,RPC,R.PRICE 10926.5 #48,dolomite,3.2316,1.7665,2585.7
102135,RPC,R.PRICE 10901.5 #25,dolomite,2.874,1.6324,2562.8
102094,RPC,R.PRICE 10889.5 #13,dolomite,3.4121,1.6635,2690.4
102142,RPC,R.PRICE 10901.5 #25,dolomite,2.5886,1.6984,2518.2
102152,RPC,R.PRICE 10901.5 #25,dolomite,2.9626,1.8494,2486
102091,RPC,R.PRICE 10889.5 #13,dolomite,3.1234,1.6702,2666.7
102222,RPC,R.PRICE 10916.5 #38,dolomite,2.9987,1.7505,2474.5
102227,RPC,R.PRICE 10916.5 #38,dolomite,2.6017,1.8915,2390.8
102093,RPC,R.PRICE 10889.5 #13,dolomite,3.3465,1.6667,2674.7
102136,RPC,R.PRICE 10901.5 #25,dolomite,2.9429,1.6945,2564.5
102298,RPC,R.PRICE 10928.5 #50,dolomite,2.5295,1.8288,2262.2
102144,RPC,R.PRICE 10901.5 #25,dolomite,2.6575,1.8642,2545.1
102248,RPC,R.PRICE 10921.5 #43,dolomite,1.916,1.8836,2357.6
102087,RPC,R.PRICE 10883.5 #7,dolomite,2.8904,1.8388,2606.9
102197,RPC,R.PRICE 10913.5 #35,dolomite,2.9167,1.721,2437
102206,RPC,R.PRICE 10913.5 #35,dolomite,2.5787,1.9466,2444.7
102250,RPC,R.PRICE 10921.5 #43,dolomite,2.1916,1.9311,2368.1
102228,RPC,R.PRICE 10916.5 #38,dolomite,2.7198,1.8456,2415.1
102205,RPC,R.PRICE 10913.5 #35,dolomite,2.8281,1.7285,2453.3
102187,RPC,R.PRICE 10909.5 #31,dolomite,2.4573,1.8558,2338.6
102278,RPC,R.PRICE 10926.5 #48,dolomite,3.3136,1.7822,2576.3
102165,RPC,R.PRICE 10908.5 #30,dolomite,2.4672,1.8351,2342.2
102266,RPC,R.PRICE 10926.5 #48,dolomite,3.3136,1.6832,2570.8
102133,RPC,R.PRICE 10901.5 #25,dolomite,2.5623,1.6901,2547.2
102146,RPC,R.PRICE 10901.5 #25,dolomite,2.8478,1.8433,2485.2
102095,RPC,R.PRICE 10889.5 #13,dolomite,3.4121,1.6827,2669
102212,RPC,R.PRICE 10913.5 #35,dolomite,3.0282,1.7768,2397.9
102203,RPC,R.PRICE 10913.5 #35,dolomite,3.0381,1.7279,2437.5
102231,RPC,R.PRICE 10916.5 #38,dolomite,2.8478,1.8548,2455.7
102263,RPC,R.PRICE 10926.5 #48,dolomite,3.3136,1.6832,2553.3
102167,RPC,R.PRICE 10908.5 #30,dolomite,2.6608,1.8249,2427.7
102245,RPC,R.PRICE 10921.5 #43,dolomite,2.5591,1.6667,2338.8
102073,RPC,R.PRICE 10883.5 #7,dolomite,3.1398,1.651,2547.8
102084,RPC,R.PRICE 10883.5 #7,dolomite,2.8937,1.8481,2523.7
102114,RPC,R.PRICE 10890.5 #14,dolomite,3.3136,1.6535,2609.4
102299,RPC,R.PRICE 10928.5 #50,dolomite,2.5787,1.8321,2311
102234,RPC,R.PRICE 10916.5 #38,dolomite,2.8543,1.8506,2398.4
102204,RPC,R.PRICE 10913.5 #35,dolomite,3.1923,1.7266,2416.2
102147,RPC,R.PRICE 10901.5 #25,dolomite,2.8412,1.8591,2499
102192,RPC,R.PRICE 10909.5 #31,dolomite,2.5919,1.7975,2397.8
102145,RPC,R.PRICE 10901.5 #25,dolomite,2.7428,1.8541,2547
102082,RPC,R.PRICE 10883.5 #7,dolomite,2.7986,1.8406,2581.3
102294,RPC,R.PRICE 10928.5 #50,dolomite,2.4409,1.8683,2337
102283,RPC,R.PRICE 10928.5 #50,dolomite,2.605,1.7128,2300.8
102283,RPC,R.PRICE 10928.5 #50,dolomite,2.605,1.7128,2300.8
102177,RPC,R.PRICE 10909.5 #31,dolomite,2.7165,1.6304,2413
102158,RPC,R.PRICE 10908.5 #30,dolomite,2.792,1.6686,2417
102270,RPC,R.PRICE 10926.5 #48,dolomite,3.1398,1.7555,2585.4
102118,RPC,R.PRICE 10890.5 #14,dolomite,3.4777,1.6509,2665.6
102156,RPC,R.PRICE 10908.5 #30,dolomite,2.687,1.6606,2350.4
102255,RPC,R.PRICE 10921.5 #43,dolomite,2.3228,1.8785,2348.8
102289,RPC,R.PRICE 10928.5 #50,dolomite,2.3655,1.6921,2331.2
102289,RPC,R.PRICE 10928.5 #50,dolomite,2.3655,1.6921,2331.2
102169,RPC,R.PRICE 10908.5 #30,dolomite,2.6575,1.8272,2415
102169,RPC,R.PRICE 10908.5 #30,dolomite,2.6575,1.8272,2415
102195,RPC,R.PRICE 10909.5 #31,dolomite,2.313,1.8298,2330.9
102080,RPC,R.PRICE 10883.5 #7,dolomite,2.6476,1.8092,2552.3
102260,RPC,R.PRICE 10926.5 #48,dolomite,3.2251,1.6785,2563.7
102173,RPC,R.PRICE 10908.5 #30,dolomite,2.815,1.8415,2396.8
102134,RPC,R.PRICE 10901.5 #25,dolomite,2.7493,1.6468,2539.9
102076,RPC,R.PRICE 10883.5 #7,dolomite,3.1529,1.6545,2588.7
102170,RPC,R.PRICE 10908.5 #30,dolomite,2.6542,1.8294,2382.8
102240,RPC,R.PRICE 10921.5 #43,dolomite,2.3884,1.6758,2351.1
102209,RPC,R.PRICE 10913.5 #35,dolomite,2.9495,1.802,2480
102202,RPC,R.PRICE 10913.5 #35,dolomite,3.0282,1.7335,2409.9
102072,RPC,R.PRICE 10883.5 #7,dolomite,3.0676,1.6578,2555.6
102162,RPC,R.PRICE 10908.5 #30,dolomite,2.9232,1.7172,2426.3
102100,RPC,R.PRICE 10889.5 #13,dolomite,3.1627,1.6805,2654.8
102083,RPC,R.PRICE 10883.5 #7,dolomite,2.9003,1.8439,2550.4
102148,RPC,R.PRICE 10901.5 #25,dolomite,2.8117,1.867,2512
102168,RPC,R.PRICE 10908.5 #30,dolomite,2.6608,1.8249,2424.8
102153,RPC,R.PRICE 10901.5 #25,dolomite,2.4869,1.9261,2563.5
102079,RPC,R.PRICE 10883.5 #7,dolomite,2.8937,1.678,2553.4
102300,RPC,R.PRICE 10928.5 #50,dolomite,2.1785,1.8675,2265.8
102155,RPC,R.PRICE 10908.5 #30,dolomite,2.6509,1.6337,2385.9
102273,RPC,R.PRICE 10926.5 #48,dolomite,3.2251,1.7701,2601.3
102113,RPC,R.PRICE 10890.5 #14,dolomite,3.248,1.6667,2658.7
102262,RPC,R.PRICE 10926.5 #48,dolomite,3.2808,1.7,2604.2
102193,RPC,R.PRICE 10909.5 #31,dolomite,2.6968,1.7762,2378
102291,RPC,R.PRICE 10928.5 #50,dolomite,2.1883,1.934,2302.9
102151,RPC,R.PRICE 10901.5 #25,dolomite,2.9199,1.8539,2572.1
102293,RPC,R.PRICE 10928.5 #50,dolomite,2.4311,1.8758,2288.8
102238,RPC,R.PRICE 10921.5 #43,dolomite,2.2178,1.6124,2382.6
102233,RPC,R.PRICE 10916.5 #38,dolomite,2.8478,1.8433,2391.9
102166,RPC,R.PRICE 10908.5 #30,dolomite,2.5591,1.8333,2405.5
102230,RPC,R.PRICE 10916.5 #38,dolomite,2.8412,1.836,2427.4
102218,RPC,R.PRICE 10916.5 #38,dolomite,2.8674,1.7277,2452.7
102288,RPC,R.PRICE 10928.5 #50,dolomite,2.7264,1.7208,2348.6
102286,RPC,R.PRICE 10928.5 #50,dolomite,2.6017,1.715,2272.6
102137,RPC,R.PRICE 10901.5 #25,dolomite,2.9265,1.7265,2528.2
102259,RPC,R.PRICE 10926.5 #48,dolomite,2.8281,1.9026,2554
102219,RPC,R.PRICE 10916.5 #38,dolomite,2.9429,1.7168,2468.8
102092,RPC,R.PRICE 10889.5 #13,dolomite,3.2808,1.67,2739.8
102281,RPC,R.PRICE 10928.5 #50,dolomite,2.4541,1.7112,2325.5
102214,RPC,R.PRICE 10913.5 #35,dolomite,2.9757,1.8412,2473.4
102214,RPC,R.PRICE 10913.5 #35,dolomite,2.9757,1.8412,2473.4
102111,RPC,R.PRICE 10889.5 #13,dolomite,2.897,2.0045,2705.6
102077,RPC,R.PRICE 10883.5 #7,dolomite,3.1562,1.6632,2558.6
102246,RPC,R.PRICE 10921.5 #43,dolomite,2.7329,1.6567,2368.7
102188,RPC,R.PRICE 10909.5 #31,dolomite,2.5886,1.8124,2393.5
102160,RPC,R.PRICE 10908.5 #30,dolomite,2.7592,1.7004,2437.8
102243,RPC,R.PRICE 10921.5 #43,dolomite,2.5787,1.6539,2326.8
102223,RPC,R.PRICE 10916.5 #38,dolomite,3.0053,1.7358,2474.3
102070,RPC,R.PRICE 10883.5 #7,dolomite,2.9232,1.6498,2597
102124,RPC,R.PRICE 10890.5 #14,dolomite,3.2185,1.8451,2667.9
102208,RPC,R.PRICE 10913.5 #35,dolomite,2.8215,1.8372,2445.6
102112,RPC,R.PRICE 10890.5 #14,dolomite,3.1693,1.6874,2681.3
102115,RPC,R.PRICE 10890.5 #14,dolomite,3.4449,1.6667,2636.1
102164,RPC,R.PRICE 10908.5 #30,dolomite,2.3392,1.8233,2376.3
102097,RPC,R.PRICE 10889.5 #13,dolomite,3.4449,1.6571,2678.6
102265,RPC,R.PRICE 10926.5 #48,dolomite,3.3136,1.6931,2559.2
102268,RPC,R.PRICE 10926.5 #48,dolomite,3.1693,1.6874,2514.7
102220,RPC,R.PRICE 10916.5 #38,dolomite,3.002,1.7486,2477.3
102184,RPC,R.PRICE 10909.5 #31,dolomite,2.4803,1.6402,2330.1
102190,RPC,R.PRICE 10909.5 #31,dolomite,2.5886,1.8124,2342.8
102276,RPC,R.PRICE 10926.5 #48,dolomite,3.2119,1.7773,2575.6
102185,RPC,R.PRICE 10909.5 #31,dolomite,2.1982,1.9105,2394.2
102292,RPC,R.PRICE 10928.5 #50,dolomite,2.3491,1.8715,2263.4
102285,RPC,R.PRICE 10928.5 #50,dolomite,2.6116,1.7211,2357.6
102207,RPC,R.PRICE 10913.5 #35,dolomite,2.71,1.9007,2470.4
102176,RPC,R.PRICE 10909.5 #31,dolomite,2.6804,1.5912,2377.4
102159,RPC,R.PRICE 10908.5 #30,dolomite,2.7789,1.6883,2360.9
102182,RPC,R.PRICE 10909.5 #31,dolomite,2.7658,1.6845,2344.9
102252,RPC,R.PRICE 10921.5 #43,dolomite,2.3064,1.8919,2343.8
102290,RPC,R.PRICE 10928.5 #50,dolomite,2.1293,1.8952,2316.8
102179,RPC,R.PRICE 10909.5 #31,dolomite,2.7658,1.6607,2343.8
102078,RPC,R.PRICE 10883.5 #7,dolomite,3.2677,1.6767,2609.8
102237,RPC,R.PRICE 10916.5 #38,dolomite,2.5623,1.9334,2404.2
102101,RPC,R.PRICE 10889.5 #13,dolomite,2.9265,2.0291,2705.1
102277,RPC,R.PRICE 10926.5 #48,dolomite,3.2808,1.77,2539.9
102210,RPC,R.PRICE 10913.5 #35,dolomite,2.956,1.8202,2482.5
102139,RPC,R.PRICE 10901.5 #25,dolomite,2.9528,1.7111,2569.8
102271,RPC,R.PRICE 10926.5 #48,dolomite,3.1693,1.7598,2608.4
102251,RPC,R.PRICE 10921.5 #43,dolomite,2.313,1.9007,2329.1
102200,RPC,R.PRICE 10913.5 #35,dolomite,3.0315,1.7316,2434.6
102117,RPC,R.PRICE 10890.5 #14,dolomite,3.4449,1.6762,2635.8
102189,RPC,R.PRICE 10909.5 #31,dolomite,2.582,1.8043,2322.5
102287,RPC,R.PRICE 10928.5 #50,dolomite,2.6116,1.7337,2319.1
102103,RPC,R.PRICE 10889.5 #13,dolomite,3.3793,1.7573,2701.2
102257,RPC,R.PRICE 10921.5 #43,dolomite,2.4737,1.8568,2317.1
102154,RPC,R.PRICE 10908.5 #30,dolomite,2.5886,1.6223,2392.8
102216,RPC,R.PRICE 10913.5 #35,dolomite,2.582,1.9314,2467.5
102226,RPC,R.PRICE 10916.5 #38,dolomite,2.7723,1.7396,2400.5
102132,RPC,R.PRICE 10890.5 #14,dolomite,2.8281,2.0186,2614.8
102181,RPC,R.PRICE 10909.5 #31,dolomite,2.769,1.6706,2341.5
102090,RPC,R.PRICE 10883.5 #7,dolomite,2.6706,1.8428,2600.9
102157,RPC,R.PRICE 10908.5 #30,dolomite,2.7723,1.6568,2384.7
102161,RPC,R.PRICE 10908.5 #30,dolomite,2.7953,1.6784,2350.4
102211,RPC,R.PRICE 10913.5 #35,dolomite,2.9856,1.8022,2445.6
102172,RPC,R.PRICE 10908.5 #30,dolomite,2.7362,1.8345,2433.1
102123,RPC,R.PRICE 10890.5 #14,dolomite,3.1759,1.8182,2658.4
102244,RPC,R.PRICE 10921.5 #43,dolomite,2.582,1.6518,2386.2
102075,RPC,R.PRICE 10883.5 #7,dolomite,3.143,1.6597,2604.8
102098,RPC,R.PRICE 10889.5 #13,dolomite,3.4449,1.6762,2670.5
102247,RPC,R.PRICE 10921.5 #43,dolomite,2.208,1.5899,2371.3
102217,RPC,R.PRICE 10916.5 #38,dolomite,2.7625,1.7102,2441.6
102236,RPC,R.PRICE 10916.5 #38,dolomite,2.9757,1.8302,2489.2
102085,RPC,R.PRICE 10883.5 #7,dolomite,2.8937,1.8367,2603.3
102235,RPC,R.PRICE 10916.5 #38,dolomite,2.9232,1.8406,2410.9
102183,RPC,R.PRICE 10909.5 #31,dolomite,2.897,1.6988,2366.7
102143,RPC,R.PRICE 10901.5 #25,dolomite,2.4409,1.9489,2524.8
102163,RPC,R.PRICE 10908.5 #30,dolomite,2.5689,1.6347,2399.7
102175,RPC,R.PRICE 10909.5 #31,dolomite,2.4606,1.64,2381.4
102261,RPC,R.PRICE 10926.5 #48,dolomite,3.2579,1.6818,2549.5
102284,RPC,R.PRICE 10928.5 #50,dolomite,2.605,1.7254,2313.5
102232,RPC,R.PRICE 10916.5 #38,dolomite,2.8445,1.8454,2463.3
102138,RPC,R.PRICE 10901.5 #25,dolomite,2.9167,1.721,2511.7
102074,RPC,R.PRICE 10883.5 #7,dolomite,3.1365,1.6632,2549.3
102171,RPC,R.PRICE 10908.5 #30,dolomite,2.6608,1.8249,2375.2
102102,RPC,R.PRICE 10889.5 #13,dolomite,3.3465,1.7745,2652.9
102119,RPC,R.PRICE 10890.5 #14,dolomite,3.4121,1.6827,2592.1
102186,RPC,R.PRICE 10909.5 #31,dolomite,2.3556,1.8802,2332.6
102149,RPC,R.PRICE 10901.5 #25,dolomite,2.7953,1.8662,2549.3
102258,RPC,R.PRICE 10921.5 #43,dolomite,2.0112,1.7781,2354
102229,RPC,R.PRICE 10916.5 #38,dolomite,2.7723,1.8462,2398.8
102279,RPC,R.PRICE 10926.5 #48,dolomite,2.7395,2,2530
102296,RPC,R.PRICE 10928.5 #50,dolomite,2.4213,1.8699,2316.1
102174,RPC,R.PRICE 10908.5 #30,dolomite,2.2933,1.9027,2420.4
102178,RPC,R.PRICE 10909.5 #31,dolomite,2.7592,1.6766,2414
102225,RPC,R.PRICE 10916.5 #38,dolomite,3.1168,1.7474,2475.7
102088,RPC,R.PRICE 10883.5 #7,dolomite,2.9987,1.8162,2521.1
102213,RPC,R.PRICE 10913.5 #35,dolomite,2.9331,1.8233,2470.8
102086,RPC,R.PRICE 10883.5 #7,dolomite,2.897,1.846,2549.2